Timer precision: 41 ns
unnesting_execution            fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ automatic                                 │               │               │               │         │
│  ├─ anti_or_nulls            443.8 µs      │ 589.1 µs      │ 451.4 µs      │ 465 µs        │ 10      │ 10
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ exists_skewed            6.322 ms      │ 6.465 ms      │ 6.368 ms      │ 6.383 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             33          │ 33            │ 33            │ 33            │         │
│  │                             13.64 KB    │ 13.64 KB      │ 13.64 KB      │ 13.67 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 300           │ 300           │ 300.2         │         │
│  │                             38.66 KB    │ 38.66 KB      │ 38.66 KB      │ 38.74 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 295           │ 295           │ 295.2         │         │
│  │                             34.28 KB    │ 34.28 KB      │ 34.28 KB      │ 34.32 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ inequality               5.752 ms      │ 6.096 ms      │ 5.951 ms      │ 5.952 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             32          │ 32            │ 32            │ 32            │         │
│  │                             12.54 KB    │ 12.4 KB       │ 12.54 KB      │ 12.44 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 299           │ 299.5         │ 299.2         │         │
│  │                             37.7 KB     │ 37.43 KB      │ 37.69 KB      │ 37.51 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 294           │ 294.5         │ 294.2         │         │
│  │                             33.19 KB    │ 33.05 KB      │ 33.19 KB      │ 33.09 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ inequality_indexed       5.763 ms      │ 6.144 ms      │ 5.95 ms       │ 5.958 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             32          │ 32            │ 32            │ 32            │         │
│  │                             12.54 KB    │ 12.4 KB       │ 12.54 KB      │ 12.44 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             300         │ 299           │ 299.5         │ 299.2         │         │
│  │                             37.7 KB     │ 37.43 KB      │ 37.69 KB      │ 37.51 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             295         │ 294           │ 294.5         │ 294.2         │         │
│  │                             33.19 KB    │ 33.05 KB      │ 33.19 KB      │ 33.09 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             7           │ 7             │ 7             │ 7             │         │
│  │                             60 B        │ 60 B          │ 60 B          │ 60 B          │         │
│  │                           shrink:       │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1 B         │ 1 B           │ 1 B           │ 1 B           │         │
│  ├─ nested_depth_2           30.39 ms      │ 30.95 ms      │ 30.55 ms      │ 30.58 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             298         │ 298           │ 298           │ 298           │         │
│  │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             298         │ 298           │ 298           │ 298           │         │
│  │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
│  ├─ nested_depth_4           30.92 ms      │ 36.29 ms      │ 31.21 ms      │ 31.79 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             384         │ 384           │ 384           │ 384           │         │
│  │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             384         │ 384           │ 384           │ 384           │         │
│  │                             565.2 KB    │ 565.2 KB      │ 565.2 KB      │ 565.2 KB      │         │
│  ├─ scalar_first_ordered     51.49 ms      │ 57.22 ms      │ 52.82 ms      │ 53.19 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             21          │ 21            │ 21            │ 21            │         │
│  │                             34.99 KB    │ 34.99 KB      │ 34.99 KB      │ 34.99 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             3436        │ 3436          │ 3436          │ 3436          │         │
│  │                             3.039 MB    │ 3.039 MB      │ 3.039 MB      │ 3.039 MB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             3436        │ 3436          │ 3436          │ 3436          │         │
│  │                             3.202 MB    │ 3.202 MB      │ 3.202 MB      │ 3.202 MB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             621         │ 621           │ 621           │ 621           │         │
│  │                             162.6 KB    │ 162.6 KB      │ 162.6 KB      │ 162.6 KB      │         │
│  ├─ scalar_sum_equality      35.59 ms      │ 38.79 ms      │ 36.29 ms      │ 36.46 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ╰─ scalar_sum_inequality    39.05 ms      │ 43.66 ms      │ 39.79 ms      │ 40.36 ms      │ 10      │ 10
│                              max alloc:    │               │               │               │         │
│                                1           │ 1             │ 1             │ 1             │         │
│                                1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│                              alloc:        │               │               │               │         │
│                                255         │ 255           │ 255           │ 255           │         │
│                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│                              dealloc:      │               │               │               │         │
│                                255         │ 255           │ 255           │ 255           │         │
│                                375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
├─ disabled                                  │               │               │               │         │
│  ├─ anti_or_nulls            881.4 µs      │ 945.5 µs      │ 923.2 µs      │ 917.3 µs      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ derived_limit            20.01 ms      │ 21 ms         │ 20.36 ms      │ 20.38 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             26          │ 26            │ 26            │ 26            │         │
│  │                             22.75 KB    │ 22.75 KB      │ 22.75 KB      │ 22.75 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             302         │ 302           │ 302           │ 302           │         │
│  │                             417.6 KB    │ 417.6 KB      │ 417.6 KB      │ 417.6 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             302         │ 302           │ 302           │ 302           │         │
│  │                             418.7 KB    │ 418.7 KB      │ 418.7 KB      │ 418.7 KB      │         │
│  │                           grow:         │               │               │               │         │
│  │                             9           │ 9             │ 9             │ 9             │         │
│  │                             1.091 KB    │ 1.091 KB      │ 1.091 KB      │ 1.091 KB      │         │
│  ├─ exists_distinct_16       1.701 ms      │ 1.926 ms      │ 1.778 ms      │ 1.804 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ exists_distinct_256      31.14 ms      │ 48.21 ms      │ 32.35 ms      │ 34.54 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ exists_high_selectivity  4.999 ms      │ 5.958 ms      │ 5.13 ms       │ 5.202 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ exists_indexed           19.13 ms      │ 19.74 ms      │ 19.48 ms      │ 19.48 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ exists_low_selectivity   32.99 ms      │ 35.89 ms      │ 33.43 ms      │ 33.62 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ exists_nulls             23.31 ms      │ 23.91 ms      │ 23.64 ms      │ 23.64 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ exists_outer_16          103.2 µs      │ 110.6 µs      │ 104.6 µs      │ 106 µs        │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             15          │ 15            │ 15            │ 15            │         │
│  │                             22.08 KB    │ 22.08 KB      │ 22.08 KB      │ 22.08 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             15          │ 15            │ 15            │ 15            │         │
│  │                             22.08 KB    │ 22.08 KB      │ 22.08 KB      │ 22.08 KB      │         │
│  ├─ exists_outer_256         18.83 ms      │ 19.71 ms      │ 19.27 ms      │ 19.25 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ exists_outer_1024        76.28 ms      │ 98.83 ms      │ 80.61 ms      │ 82.46 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             1023        │ 1023          │ 1023          │ 1023          │         │
│  │                             1.505 MB    │ 1.505 MB      │ 1.505 MB      │ 1.505 MB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             1023        │ 1023          │ 1023          │ 1023          │         │
│  │                             1.505 MB    │ 1.505 MB      │ 1.505 MB      │ 1.505 MB      │         │
│  ├─ exists_skewed            2.862 ms      │ 2.946 ms      │ 2.916 ms      │ 2.914 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ inequality               19.61 ms      │ 20.25 ms      │ 19.92 ms      │ 19.92 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ inequality_indexed       19.44 ms      │ 20.98 ms      │ 19.88 ms      │ 20.05 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             255         │ 255           │ 255           │ 255           │         │
│  │                             375.3 KB    │ 375.3 KB      │ 375.3 KB      │ 375.3 KB      │         │
│  ├─ nested_depth_2           30.35 ms      │ 33.23 ms      │ 30.51 ms      │ 30.78 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             298         │ 298           │ 298           │ 298           │         │
│  │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
│  │                           dealloc:      │               │               │               │         │
│  │                             298         │ 298           │ 298           │ 298           │         │
│  │                             438.6 KB    │ 438.6 KB      │ 438.6 KB      │ 438.6 KB      │         │
│  ├─ nested_depth_4           31.02 ms      │ 35.59 ms      │ 31.41 ms      │ 32.19 ms      │ 10      │ 10
│  │                           max alloc:    │               │               │               │         │
│  │                             1           │ 1             │ 1             │ 1             │         │
│  │                             1.472 KB    │ 1.472 KB      │ 1.472 KB      │ 1.472 KB      │         │
│  │                           alloc:        │               │               │               │         │
│  │                             384         │ 384           │ 384           │ 384           │         │
